"dataset","id","trt","y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40"
1,107,1,7.67,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,37.3,67.29,53.88,26.57,66.97,56.37,87.6,44.11,82.48,9.54,26.67,59.05,52.57,25.63,70.38,55.24,38.31,52.96,99.13,66.27
1,108,1,7.662,0,0,2,2,1,1,2,2,0,0,0,0,1,1,0,0,2,1,0,0,8.58,64.89,70.87,87.22,85.21,35.8,42.1,93,43.13,27.82,49.85,63.91,77.84,1.18,53.21,45.34,8.72,80.96,30.72,89.99
1,109,1,5.492,1,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0,1,73.59,3.8,48.18,16.33,7,77.66,48.17,76.03,27.08,25.47,39.45,0.47,43.52,78.22,34.11,85.86,65.02,93.85,97.44,11.81
1,110,0,8.114,1,1,0,0,0,0,0,0,1,1,1,2,2,2,1,0,0,0,0,0,91.62,3.48,94.1,12.94,46.79,19.94,76.99,54.32,24.52,15.44,87.15,27.35,91.32,44.14,73.17,29.83,30.91,63.32,24.78,87.6
1,111,0,7.597,2,2,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,9.52,73.34,81.62,47.73,88.18,86.43,47.24,84.34,4.99,74.93,29.39,78.18,54.84,4.79,15.65,99.96,70.09,81.73,33.72,91.78
1,112,1,4.26,1,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,1,1,1,2,37.99,38.2,91.66,32.15,86.18,31.3,12.83,70.98,41.01,92.07,53.51,89.22,32.96,0.58,6.3,11.6,69.58,13.63,52.37,5.1
1,113,1,6.836,2,1,0,1,1,1,0,0,1,1,2,1,0,0,1,2,1,0,2,1,87.8,22.54,24.33,70.89,23.35,56.19,65.13,43.43,85.76,63,24.33,52.83,51.93,12.34,19.93,15.48,44.07,57.18,81.15,46.68
1,114,1,8.158,2,2,1,1,1,0,1,1,2,2,0,0,0,0,1,2,0,0,1,1,5.95,89.83,75.12,56.18,2.93,53.97,71.49,90.7,0.55,59.53,63.67,15.25,97.92,37.5,28.33,10.85,17.93,80.71,58.1,66.79
1,115,0,8.006,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,2,1,2,27.21,12.54,97.35,99.14,99.25,27.51,44.18,34.15,24.58,50.74,45.76,16.85,79.77,40.05,76.83,78.83,61.76,57.48,32.26,34.3
1,116,0,8.231,0,0,0,1,1,0,0,0,2,2,0,0,1,0,1,1,0,1,0,0,91.04,75.17,89.48,37.9,81.64,87.14,22.98,69.28,90.41,46.47,61.96,85.07,70.8,72.35,9.92,20.51,14.2,85.62,58.9,48.48
1,117,1,6.411,0,0,2,2,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,0,34.23,24.81,87.13,89.31,75.49,37.15,82.17,67.34,8.93,65.89,36.28,67.99,64.84,41.5,7.53,21.46,80.36,99.11,13.71,88.27
1,118,1,5.703,0,0,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,0,28.75,67.32,23.78,9.39,67.43,96.58,10.52,2.91,92.21,64.31,75.59,61,37.31,30.36,47.07,97.41,20.7,1.86,26.77,79.32
1,119,1,6.661,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,2,69.17,60.41,89.71,86.31,27.03,88.06,90.22,4.93,27.08,13.17,6.81,24.69,58.29,52.58,26.85,13.24,69.84,98.24,7.91,42.21
1,120,1,6.199,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,79.96,53.19,85.93,73.22,0.44,28.39,44.01,46.7,45.66,1.91,64.34,96.02,29.83,47.96,38.16,11.06,61.22,20.04,56.63,64.92
1,121,1,8.833,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,2,0,1,57.13,93.74,36.25,67.87,96.28,38.82,75.35,95.56,78.62,16.66,45.23,44.53,50.21,61.92,81.31,97.24,20.89,94.18,41.32,83.58
1,122,0,9.268,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,68.21,25.86,97.45,34.85,26.24,3.11,51.75,50.27,48.76,14.61,67.45,39.77,69.2,17.6,98.85,56.18,98.81,82.37,87.69,84.86
1,123,0,5.879,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,31.92,21.39,61.67,67.49,48.85,63.63,5.73,17.41,40.53,68.92,43.83,55.68,70.57,47.32,63.74,52.01,70.81,98.93,16.82,25.71
1,124,0,8.216,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,1,0,0,73.09,69.98,80.55,92.73,83.33,5.75,94.93,44.19,91.36,12.91,47.92,92.12,82.63,67.9,65.83,96.92,91.75,65.46,11.23,12.06
1,125,1,8.47,0,0,0,0,2,1,2,1,0,0,0,1,0,0,1,1,0,0,0,1,46.26,7.28,9.53,0.17,85.2,43.63,26.14,82.66,49.68,74.8,61.59,85.59,40.58,34.5,86.36,86.52,32.02,98.78,95.11,42.57
1,126,1,4.73,0,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,10.09,49.19,53.27,85.84,57.36,70.67,10.18,27.6,21.79,87.66,72.3,44.31,46.31,49.84,9.64,83.89,47.08,77.86,46.27,53.93
1,127,0,8.957,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0.32,51.59,42.67,53.77,51.76,73.25,88.7,88.33,62.55,27.85,90.37,96.13,38.52,85.51,34.08,50,13.71,40.54,61.79,99.46
1,128,1,6.422,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,5.52,54.56,75.08,44.56,94.56,90.75,5.11,4.97,7.97,95.75,83.98,57.3,90,34.07,89.62,80.03,80.97,68.03,34.8,56.08
1,129,0,4.76,0,0,0,1,1,1,0,0,0,1,1,1,2,2,1,1,1,1,0,0,10.65,4.4,24.61,47.48,17.47,15.1,87.07,8.16,83.6,84.92,35.01,54.65,29.56,77.48,92.85,18.17,49.41,14.65,46.12,75.32
1,130,0,6.481,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,44.32,44.43,35.8,57.17,36.01,72.39,96.37,44.93,5.48,34.17,9.78,14.74,7.47,43.53,27.32,84.46,43.83,18.72,7.23,90.77
1,131,1,8.576,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,42.45,81.55,67.55,12.55,2.92,96.05,74.69,53.67,48.05,8.02,95.1,93.06,46.76,96.51,50.54,30.71,83.01,84.38,44.03,0.87
1,132,1,9.142,1,1,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,5.07,88.82,91.48,14.1,95.11,83.05,28.51,66.32,78.57,44.36,19.91,53.07,58.02,14.57,43.14,15.57,71.13,76.88,71.5,3.74
1,133,1,6.813,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,32.57,14.19,62.24,43.64,33.54,35.33,7.61,42.98,58.43,67.37,98.48,99.05,18.61,4.19,59.96,83.55,18.59,50.56,42.34,1.71
1,134,0,6.496,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,42.78,96.31,83.7,81.6,82.49,18.89,4.61,37.81,53.55,89.97,50.36,79.65,69.09,25.47,11.6,18.98,63.92,13.2,26.91,88.49
1,135,0,7.486,1,0,0,0,1,1,0,0,0,0,1,1,1,2,1,0,2,0,0,0,13.47,10.66,40.02,71.11,24.4,51.37,47.23,16.73,82.25,56.1,99.16,64.87,20.54,5.99,55.72,3.2,44.5,88.12,88.73,14.42
1,136,1,6.924,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,0,0,0,0,0,7.58,43.12,99.09,21.78,39.88,75.1,92.55,11.98,67.92,87.8,69.51,99.5,56.32,74.67,6.65,27.11,87.2,3.8,73.56,94.76
1,137,1,9.977,0,0,0,0,1,1,0,0,2,2,1,1,0,0,1,1,0,0,0,0,98.56,97.02,39.84,77.72,59.96,16.55,60.94,19.36,98.17,29.16,66.48,19.91,27.04,75.4,85.93,43.08,34.66,23.74,17.02,63.84
1,138,1,10.376,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0,38.73,52.81,99.64,36.56,61.39,54.95,56.34,11.83,13.25,31,49.42,96.55,33.56,18.27,26.4,35.25,61.82,64.36,28.86,82.42
1,139,1,7.445,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,2,62.87,57.47,44.01,25.76,52.51,20.56,86.98,64.4,73.09,98.27,83.49,46.97,85,26.22,10.42,97.35,0.76,59.45,23.46,64.62
1,140,1,8.382,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,21.27,83.79,43.18,89.18,61.56,8.47,75.82,5.98,83.61,20.85,41.04,67.28,59.63,47.87,72.5,56.94,78.81,93.52,24.6,58.1
1,141,1,6.052,0,0,1,0,0,0,1,1,2,1,2,1,1,1,0,0,0,1,0,0,97.18,63.77,0.34,28.53,58.48,98,78.33,11.3,36.51,8.02,62.18,11.15,10.78,60.49,83.47,12.57,14.1,68.7,41.91,87.87
1,142,0,8.905,0,0,1,0,0,1,0,0,1,1,1,1,1,0,2,2,1,0,0,1,4.51,79.79,64.36,65.18,13.79,30.64,24.34,54.78,16.48,11.36,37.03,11.52,72.29,47.55,90.22,76.2,44.55,92.39,73.39,29.19
1,143,0,6.59,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,44.61,14.36,97.85,60.37,4.85,94.87,8.96,91.91,0.14,9.84,76.57,7.88,78.4,98.79,55,29.65,69.82,51.8,20.99,11.21
1,144,0,8.199,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,58.2,81.82,36.19,32.83,13.06,27.64,43.35,62.7,23.51,33.13,17.78,9.74,13.21,31.53,61.41,96.24,19.89,31.57,79.87,47.05
1,145,1,6.437,0,0,1,1,1,0,1,1,0,0,2,1,1,1,1,1,0,1,1,0,22.34,98.27,2.49,78.66,19.58,55.67,34.4,81.33,86.65,54.34,49.57,18.45,9.54,78.57,57.98,18.62,41.52,30.15,33.25,18.15
1,146,0,6.927,2,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,68.55,5.64,9.66,47.93,17.97,55.47,31.64,62.55,25.99,15.88,78.31,79.12,53.65,39.75,9.89,52.83,96.24,18.95,2.72,52.14
1,147,1,6.861,1,1,1,0,0,0,1,0,2,1,1,0,1,1,0,1,1,2,1,1,24.19,26.65,74.47,77.03,77.58,31.51,68.46,84.62,99.86,14.43,57.52,71.83,94.23,99.21,83.7,44.34,98.6,10.15,81.32,26.76
1,148,1,5.775,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,16.39,35.39,12.8,37.33,72.43,87.97,73.73,94.92,20.02,29.03,50.26,84.64,92.1,60.88,90.35,78.59,2.53,64.06,14.52,93.87
1,149,1,6.399,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,27.02,44.08,53.05,71.21,67.33,27.39,66.42,85.2,98.28,18.4,15.81,83.1,55.18,91.98,19.69,12.67,73.57,87.45,11.72,98.6
1,150,1,9.332,0,0,0,1,1,0,1,2,0,0,0,0,2,2,2,2,2,2,0,1,45.72,90.72,23.69,74.82,12.89,32.04,21.2,49.83,69.46,9.87,8.01,37.29,77.53,70.96,71.93,58.11,4.33,51.08,2.63,33.88
1,151,1,6.538,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,57.13,92.35,77.48,66.89,38.16,13.27,29.05,39.57,51.92,87.79,83.52,87.06,50.51,57.85,40.58,19.89,38.13,90.3,66.47,5.45
1,152,1,6.099,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,62.81,77.56,5.05,82.62,44.94,9.22,86.63,45.86,18.33,8.32,83.84,53.22,80.35,45.81,73.32,19.03,9.33,3.01,87.59,81.57
1,153,1,6.361,1,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,0,67.02,38.59,80,13.74,48.7,31.77,4.92,73.36,82.74,52.47,54.03,46.84,11.35,14.05,31.63,42.01,51.69,8.6,79.26,87.35
1,154,0,9.999,1,1,0,0,1,1,0,0,0,0,1,1,2,2,1,1,0,0,1,2,74.63,49.27,5.48,78.72,24.05,46.38,49.16,82.9,70.35,68.9,26.61,70.23,82.11,59.75,38.67,99.5,67.18,31.82,80.18,69.03
1,155,1,5.06,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,76.13,72.4,92.58,27.95,10.09,14.61,57.39,4.71,4.2,34.16,41.27,6.5,12.81,89.11,64.9,93.17,4.64,54.27,87.5,90.7
1,156,1,7.277,0,0,2,2,0,0,1,1,2,2,0,0,0,0,1,1,0,0,1,1,87.04,71.93,71.32,76.11,37.24,96.32,28.61,1.21,76.91,77.97,52.42,6.54,11.61,1.36,87.16,40.72,35.76,77.22,36.54,47.51
1,157,1,5.52,0,0,1,1,2,1,2,2,1,1,0,0,2,2,1,2,1,1,1,1,1.38,94.72,78.73,36.55,68.48,98.46,52.1,80.13,46.56,36.2,7.21,84,1.84,82.43,80.24,19.84,17.14,55.45,34.77,89.36
1,158,1,7.482,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,2,1,1,8.9,35.72,92.26,80.38,96.42,1.08,8.43,57.3,82.3,1.83,91.31,58.45,89.36,68.76,50.61,11.68,27.21,34.12,94.67,76.08
1,159,1,7.914,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,68.93,64.26,48.28,38.65,26.54,30.09,89.55,1.62,83.38,49.65,28.46,88.45,60.15,92.78,1.89,67.11,25.46,19.73,99.17,27.4
1,160,1,6.88,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,19.89,3.69,83.6,51.68,71.97,83.18,8.41,10.48,20.6,63.81,1.61,87.17,37.02,63.38,83.76,28.38,84.5,11.35,72.88,5.61
1,161,0,10.144,2,2,2,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,48.54,1.37,79.47,19.02,56.19,30.05,91.79,22.38,49.06,37.94,68.04,0.03,7.17,52.69,14.83,46.51,96.87,29.47,50.66,85.67
1,162,1,7.262,0,0,1,0,1,1,1,2,1,1,0,1,1,0,2,1,1,1,0,0,90.57,91.35,7.13,16.26,33.59,47.23,59.97,74.92,74.38,97.48,50.92,53.69,48.29,31.13,53.82,46.42,18.85,64.71,40.54,53.95
1,163,0,5.822,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,45.43,11.53,90.57,88.63,95.55,82.32,40.22,60.03,82.6,55.58,97.64,42.17,94.3,83.35,72.59,85.5,49.07,42.26,24.28,73.24
1,164,1,6.617,1,1,0,0,0,0,1,2,2,2,1,1,1,1,1,0,0,0,1,2,70.88,72.81,59.5,92.28,32.71,34,66.83,14.78,52.8,36.71,61.35,38.27,26.97,1.6,96.72,45.89,86.9,11.35,8.25,6.95
1,165,0,9.323,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,51.75,82.19,80.06,4.38,55.7,82.3,70.61,62.62,40.14,48.38,50.23,97.99,66.13,8.57,95.6,4.43,51.05,13.74,18.63,31.59
1,166,1,5.725,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,42.85,35.06,23.18,69.14,58.01,47.91,5.37,99.86,78.93,77.47,66.94,83.93,24.34,30.1,82.11,12.76,5.35,39.36,83.13,75.84
1,167,1,7.777,0,1,1,1,0,1,0,0,1,2,1,1,1,1,0,1,2,1,0,0,1.08,99.14,59.87,20.58,0.08,47.08,71.33,42.82,19.6,24.29,53.11,62,66.21,26.72,50.79,8.2,26.61,2.41,91.8,56.04
1,168,0,8.017,1,1,0,1,1,1,0,0,1,1,0,0,0,0,2,2,1,1,0,0,61.72,21.38,36.61,55,75.2,98.3,71.94,42.67,85.14,5.37,17.22,16.88,60.61,39.63,95.04,77.01,23.67,48.83,50.01,94.77
1,169,1,7.1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,0,48.84,61.57,62.03,97.95,34.7,34.08,59.84,60.38,70.94,71.03,25.08,40.31,75.71,61.88,59.77,25.56,64.82,73.17,37.44,2.98
1,170,1,7.264,1,1,0,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,24.12,95.59,2.61,56.38,96.9,39.18,68.39,14.02,30.34,40.86,18.56,13.47,35.95,36.27,4.09,19.05,37.98,80.47,46.52,17.27
1,171,0,9.046,0,0,0,0,2,1,1,1,2,1,1,1,0,0,1,1,1,0,1,1,87.74,71.26,92.37,33.64,40.38,90.63,3.21,96.63,4.66,22.94,98.39,49.37,74.23,36.54,48.45,99.39,79.38,47.33,51.16,26.39
1,172,1,6.67,1,1,0,1,0,0,2,2,0,0,1,1,1,0,0,0,1,0,0,2,50.63,8.45,40.18,52.21,63.17,74.25,33.06,56.6,31.28,97.77,5.7,94.8,74.93,10.7,38.79,55.17,64.06,62.38,20,63.86
1,173,1,9.611,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,2,2,1,1,23.79,36.6,1.2,34.59,14.05,3.93,77.26,92.58,70.33,26.54,54.48,98.18,84.48,72.17,70.57,23.07,63.2,89.73,47.5,25.53
1,174,1,6.674,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,3.37,45.85,48.3,45.07,89.4,74.3,22.55,48.41,77.85,97.37,26.21,87.46,79.34,98.41,75.17,20.06,45.1,66.67,33.21,17.59
1,175,1,5.493,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,58.88,29.97,10.57,61.74,9.51,93.04,66.13,45.81,27.45,42.79,67.42,0.39,18.59,4.51,1.72,78.09,48.5,73.88,62.74,22.28
1,176,0,8.915,0,0,0,0,0,1,0,0,0,0,1,1,2,2,1,1,0,0,1,2,3.02,5.04,44.63,62.63,16.42,14.52,67.15,4.25,85.05,12.74,40.8,91.3,70.07,92.82,78.99,29.73,0.56,14.87,13.86,68.58
1,177,0,9.687,1,1,1,1,0,0,1,2,0,0,1,1,1,0,1,0,1,1,1,1,86.81,10.65,39.4,19.18,47.84,77.9,48.41,10.07,45.03,12.44,42.63,59.35,65.95,39.5,16.67,40.91,15.52,89,35.35,3.79
1,178,0,8.523,1,1,0,0,0,1,2,2,1,1,0,0,0,0,1,1,1,0,0,0,45.2,0.36,25.4,20.28,69.88,32.98,65.67,18.41,90.42,80.69,69.55,67.12,41.53,77.55,22.13,97.33,1.52,56.8,73.04,19.68
1,179,1,6.792,1,0,0,0,2,1,2,2,0,0,1,0,2,2,1,0,1,1,1,1,91.28,77.01,34.62,98.79,22.07,37.92,52.34,24.57,82.52,93.64,86.16,61.11,79.82,40.8,47.42,35.01,4.63,21.68,23.79,45.27
1,180,0,6.398,0,0,2,2,0,1,1,1,1,1,1,1,2,2,1,2,0,0,0,0,96.51,55.03,27.11,93.91,31.11,15.5,5.18,38.95,0.03,79.9,42.65,84.22,4.98,52.4,30.59,49.06,42.48,36.88,95.15,12.74
1,181,0,8.314,2,2,1,1,1,2,0,1,2,2,2,1,0,0,1,1,1,1,1,1,80.94,8.25,13.12,26.24,81.33,76.78,93.36,18.73,50.01,28.71,1,67.55,9.53,99.42,59.48,40.52,15.56,30.73,25.02,76.82
1,182,0,7.453,0,0,0,1,2,2,1,0,2,1,1,1,1,1,0,0,1,0,1,1,34.37,15.55,52.36,43.08,31.99,80.96,97.44,17.29,68.23,96.74,46.28,99.18,0.53,47.14,23.94,3.44,44.49,25.13,47.53,61.34
1,183,1,5.061,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,44.3,37.54,68.61,31.21,60.24,37.78,46.57,62.57,96.43,78.78,37.04,50.58,50.85,45.9,90.86,6.74,7.96,64.39,33.11,48.59
1,184,1,6.937,0,0,0,0,1,1,1,2,1,1,0,1,1,1,0,1,1,1,0,0,1.88,98.93,32.85,56.13,29.24,48.87,21.61,95.96,8.21,50.26,3.01,95.2,99.67,11.91,10.34,16.21,97.44,4.05,96.24,59.63
1,185,1,6.171,1,1,0,0,0,0,1,1,0,0,0,0,2,2,1,2,1,1,0,0,3.24,8.82,77.95,95.98,84.96,62.68,65.58,65.16,93.27,10.54,25.68,92.04,64.56,71.14,63.43,45.36,91.6,44.73,68.74,49.81
1,186,1,7.289,1,2,2,1,1,1,1,1,0,0,0,0,1,1,0,0,2,2,0,0,91.86,44.27,8.24,89.69,3,83.49,2.22,12.5,7.66,22.49,18.75,43.56,73.46,14.84,65.05,57.54,25.72,56.95,76.45,78.24
1,187,1,5.702,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,63.12,26.66,1.89,81.42,74.51,28.75,21.81,86.37,66.32,70.76,32.26,11.32,65.21,81.53,92.96,58.68,74.49,67.14,40.64,88.17
1,188,1,8.812,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,38.67,29,41.41,4.51,43.77,55.89,63.13,89.04,81.57,48.41,71.69,65.39,30.34,82.09,72.66,2.19,89.85,29.56,10.27,53.81
1,189,1,6.981,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,49.66,48.49,94.92,84.69,76.55,72.04,43.23,41.97,96.5,89.89,17.33,52.97,82.45,66.95,7.52,23.72,1.54,42.4,46.38,28.54
1,190,1,7.109,2,2,1,1,0,0,2,2,1,1,0,1,1,1,0,0,1,1,0,1,56.28,52.25,29.46,12.45,60.15,39.17,90.23,97.57,79.32,48.87,4.83,67.5,5.44,96.36,47.51,62.93,1.03,27.7,94.99,76.93
1,191,1,7.083,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,31.98,34.87,79.26,88.86,93.4,33.22,60.19,88.55,38.56,66.49,16.03,70.3,77.53,28.98,28.19,98.43,63.14,48.67,45.6,61.88
1,192,1,6.02,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,28.25,73.05,87.64,97.92,24.66,41.16,39.95,43.23,43.56,21.58,53.35,31.59,39.28,51.52,46.41,85.12,73.02,45.78,1.34,98.78
1,193,1,8.688,0,0,1,1,0,0,1,0,0,0,2,2,1,1,1,1,1,1,0,0,2.66,99.22,40.02,98.87,10.56,99.99,39.27,85.79,82.18,90.85,81.64,84.2,15.37,54.58,1.66,0.83,86.78,60.18,42.59,4.54
1,194,1,4.61,0,1,1,1,2,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,71.21,28.11,93.23,1.32,80.36,33.86,60.36,10.75,77.09,77.47,32.19,69.96,40.45,11.35,29.32,86.52,58.49,80.14,1.59,84.91
1,195,1,8.22,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,8.42,87.54,32.91,10.43,35.52,99.14,36.1,28.24,11.43,9.56,31.25,48.59,97.3,40.82,31.71,64.93,8.71,74.23,82.79,16.08
1,196,0,5.514,1,1,1,1,1,1,1,1,0,0,2,2,0,0,0,0,2,2,1,0,30.81,82.51,45.25,73.19,71.29,8.8,62.99,27.25,69.98,75.15,11.64,30.97,77.8,4.94,36.7,89.97,58.4,57.88,49.89,36.24
1,197,0,7.418,2,2,1,1,1,1,1,1,1,2,0,0,1,1,0,0,2,0,2,2,85.45,2.19,63.95,19.12,7,2.15,94.25,28.77,55.57,96.18,61.95,65.21,10.59,25.09,87.28,39.7,35.89,84.93,76.87,20.34
1,198,0,8.979,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,47.73,1.12,28.69,26.48,50.34,81.19,98.52,81.61,77.04,25.92,23.82,61.05,74.65,18.69,72.73,68.33,63.09,40.86,64.04,60.64
1,199,0,6.821,0,0,1,1,1,2,1,1,0,0,1,1,1,1,1,0,0,0,1,1,48.94,22.04,13.24,18.81,36.87,30.61,28.11,1.14,58.84,19.63,97.32,32.15,74.98,13.02,96.84,76.25,71.87,75.96,55.78,90.01
1,200,1,8.451,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,13.67,20.31,94.81,88.7,54.04,35.55,99.16,38.47,17.5,9.14,50.23,21.06,56.84,39.59,55.38,23.9,63.68,6.72,83.98,48.6
1,201,1,6.979,0,0,2,2,1,1,1,1,2,0,0,0,1,1,1,1,1,1,0,0,56.5,59.91,57.88,16.51,45.81,67.74,47.48,28.85,72.58,97.44,21.16,71.45,22.06,2.31,61.78,60.11,11.65,47.54,21.61,24.71
1,202,1,8.483,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,26.98,62.96,43.38,48.86,69.74,94.24,19.37,70.73,95.88,84.23,25.53,65.55,32.97,99.09,46.11,1.03,63.85,38.53,68.67,82.2
1,203,1,7.537,1,1,2,2,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,17.64,8.82,88.25,31.74,82.77,65.71,50.13,41.49,98.24,65.32,62.94,96.68,15.37,95.67,14.29,74.7,30.37,6.9,49.77,49.8
1,204,0,7.984,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,1,2,2,0,1,26.36,36.71,53.38,51.62,31.48,72.99,96.19,10.46,89.07,53.91,89.97,91.63,27.34,85.04,91.64,73.62,83.53,94.66,41.26,2.54
1,205,1,6.1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,58.64,71.09,28.47,16.65,81.05,90.5,56.58,40.41,41.57,49.11,0.1,43.5,92.72,20.51,7.35,59.86,30.62,68.76,58.72,14.64
1,206,1,8.014,1,1,1,1,0,0,1,2,0,2,1,1,0,0,1,1,2,2,2,1,89.8,32.1,32.44,96.09,41.03,59.88,13.09,59.84,75.23,60.76,61.83,2.79,63.42,20.87,62.05,67.1,42.14,35.68,0.42,62.9
1,207,1,7.341,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,2,2,1,1,67.02,62.9,77.05,23.62,9.14,91.89,86.64,49.45,19.33,34.84,99.94,82.11,62.14,72.81,22.91,95.92,16.66,90.44,60.03,8.72
1,208,1,8.189,0,0,1,1,0,0,1,1,0,0,0,1,2,2,2,1,0,0,0,0,8.61,60.66,60.52,43.16,10.61,63.05,22.99,98.48,85.97,14.18,96.58,34.64,86.8,11.23,77.04,35.98,4.61,44.09,35.36,83.3
1,209,1,8.714,0,0,0,0,1,0,1,1,2,1,0,0,0,0,1,1,1,2,1,1,35.91,5.87,35.52,90.27,92.35,39.17,19.1,5.07,40.5,29.42,88.18,51.51,94.8,47.55,23.39,9.49,49.82,33.8,36.87,59.83
1,210,1,5.519,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97.89,50.13,16.56,97.22,72.01,16.51,75.5,49.34,65.28,45.33,31.92,81.91,65.59,80.92,80.46,20.06,72.59,7.24,42.32,15.5
1,211,1,6.854,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,2,0,1,0,0,65.08,68.62,98.21,89.94,50.19,46.36,48.53,66.16,44.2,79.28,71.38,52.57,34.69,91.2,93.27,91.82,88.97,42.16,47.56,15.31
1,212,1,7.194,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,53.9,45.08,77.84,66.45,33.33,67.3,52.01,66.41,0.94,91.63,12.29,60.68,12.52,94.84,95.88,33.47,61.25,43.4,58.51,75.08
